FID,OBJECTID,NumCabecer,NumDistrit,CodigoCaja,NumSplitte,Montaje,DirPrincip,DirSecunda,DirReferen,MarcaCaja,AtenCalcDi,AtenMedDis,Constructo,FechaConst,UsuarioCre,FechaCreac,UsuarioEdi,FechaEdici,Rsv1,Rsv2,HANDLE,ReservaHil,Tag,GlobalID,Coord_X,Coord_Y
0,555,2,713,I12,1,PARED,FELIPE II,MENENDEZ Y PELAYO,MALL DEL RIO,CANOVATE,0.000000000000000,20.100000000000001,ING. CARLOS PLAZA,12/14/2021 0:00:00,GISETAPA,5/12/2016 0:00:00,aigr:DGSARMIE,10/20/2022 0:00:00,EJIDO,0,2713I12, ,"2,713,I12,",{17E1FA39-6AEE-4633-B88F-7FCBC4D573F9},720658,9677248
1,566,2,701,G4,1,PARED,CIRCUNVALACION SUR,CAMINO A TURI, ,SIN MARCA,0.000000000000000,0.000000000000000,ING. MIGUEL MENDEZ,8/12/2022 0:00:00,GISETAPA,5/12/2016 0:00:00,aigr:DGSARMIE,4/3/2024 0:00:00,EJIDO,0,2701G4, ,"2,701,G4,",{5DB2BDA4-861D-4A0B-BFF6-D7A27E2ABD37},721451,9677119
2,586,2,704,E2,1,POSTE,ULISES CHACON,RICARDO MUNOZ DAVILA, ,SIN MARCA,0.000000000000000,0.000000000000000, ,,GISETAPA,5/12/2016 0:00:00,JPMORALE,8/17/2021 0:00:00,EJIDO,0,2704E2, ,"2,704,E2,",{65F79FC1-322B-4DC9-9B70-2FD77DE384EE},720497,9678405
3,634,67,701,A12,1,PARED,CUZCO,CARTAGENA DE INDIAS, ,FURUKAWA,0.000000000000000,19.489999999999998,ING. CARLOS PLAZA,5/10/2021 0:00:00,JDURAN,6/21/2016 0:00:00,JPMORALE,8/17/2021 0:00:00,TOTORACOCHA,0,67701A12, ,"67,701,A12,",{37E7BD5B-D2A2-424F-905B-8984C18614EA},725784,9679519
4,635,67,701,A10,1,PARED,CARTAGENA DE INDIAS,MARACAIBO, ,FURUKAWA,0.000000000000000,19.140000000000001,ING. CARLOS PLAZA,5/10/2021 0:00:00,JDURAN,6/21/2016 0:00:00,JPMORALE,8/17/2021 0:00:00,TOTORACOCHA,0,67701A10, ,"67,701,A10,",{11C9BF71-AA49-4DD2-9DDF-01F207259115},725822,9679529
5,1444,2,716,D6,2,POSTE,EMILIO CARRERA,DOCE DE OCTUBRE, ,FK-CTO-16MC,11.230000000000000,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,aigr:DGSARMIE,9/17/2022 0:00:00,15,3,2716D6, ,"2,716,D6,",{F037DA78-A5A7-42C6-8E29-92C2EC97B1D2},719895,9677877
6,1445,2,716,H12,2,POSTE,CRISTOBAL COLON,FRAY LUIS DE LEON, ,FK-CTO-16MC,11.300000000000001,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,DGSARMIE,9/17/2022 0:00:00,9,12,2716H12, ,"2,716,H12,",{E5D11C08-BB21-4636-9152-91E662415E28},720010,9677752
7,1447,2,716,H6,1,POSTE,CRISTOBAL COLON,FRANCISCO DE QUEVEDO, ,FURUKAWA,11.350000000000000,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,aigr:DGSARMIE,9/17/2022 0:00:00,4,1,2716H6, ,"2,716,H6,",{7F7937C2-4FE2-41BA-BA8B-F820C9C80E52},720125,9677697
8,1448,2,716,H4,1,POSTE,CRISTOBAL COLON,FERNANDO DE ARAGON, ,FURUKAWA,11.400000000000000,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,aigr:DGSARMIE,9/17/2022 0:00:00,7,1,2716H4,"H8,H7,H2-H1","2,716,H4,",{096B0DA4-AEBA-4564-ADED-3664C9E7B96C},720291,9677644
9,1450,2,716,G12,1,POSTE,SN,Doce de Octubre, ,FK-CTO-16MC,11.240000000000000,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,DGSARMIE,9/17/2022 0:00:00,Se realiza empalme directo,1,2716G12, ,"2,716,G12,",{5784F4A2-D9E7-4BEA-827F-2AA2112D5D41},719975,9677931
10,1453,2,716,F12,1,POSTE,FRAY LUIS DE LEON,TERESA DE AVILA, ,FURUKAWA,11.240000000000000,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,DGSARMIE,9/17/2022 0:00:00,6,1,2716F12, ,"2,716,F12,",{E6F61E85-3344-47B6-A278-439C7D80DCB1},720060,9677968
11,1454,2,716,F10,2,POSTE,Jose Zorrilla,Teresa de Avila, ,FK-CTO-16MC,11.300000000000001,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,DGSARMIE,9/17/2022 0:00:00,12,3,2716F10, ,"2,716,F10,",{2EEA4319-2E21-4852-B204-6631D97DE736},720165,9677939
12,1455,2,716,E12,1,POSTE,Isabella Catolica,Fray Luis de Leon, ,FK-CTO-16MC,11.180000000000000,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,JPMORALE,8/17/2021 0:00:00,4,1,2716E12, ,"2,716,E12,",{A4D82EBE-1071-4DCE-B824-EFCF6CC485D3},720103,9678098
13,1457,2,716,F6,0,POSTE,FRANCISCO DE QUEVEDO,TERESA DE AVILA, ,FURUKAWA,11.359999999999999,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,aigr:DGSARMIE,9/17/2022 0:00:00,9,2,2716F6, ,"2,716,F6,",{D6C5A4A5-8C1E-4D13-8637-CA5C444AAF9D},720287,9677970
14,1458,2,716,F4,1,POSTE,Gabriel Miro,Tirso de Molina, ,FK-CTO-16MC,11.430000000000000,0.000000000000000,Javier Martinez Ledesma,4/29/2016 0:00:00,JDURAN,6/28/2016 0:00:00,JPMORALE,8/17/2021 0:00:00,7,1,2716F4,"F7,F1","2,716,F4,",{1217FBF8-A78C-4B76-A297-B60E99F3C582},720372,9677937
